[2025-04-13 05:53:30] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:53:32] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:53:39] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:53:41] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:53:49] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:53:51] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:53:58] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:54:00] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:54:07] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:54:09] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:54:17] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:54:19] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:54:26] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:54:28] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:54:35] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:54:38] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:54:45] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:54:47] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_deepseek)
[2025-04-13 05:54:54] 👍 CPU 사용률 0% → 정상, 재시작 안 함 (ollama_1)
[2025-04-13 05:54:56] 👍 CPU 사용률 5% → 정상, 재시작 안 함 (ollama_deepseek)
